 component   0 : { size: 11927552, (unique: 7947833), root:   0, level:   0, parent:   0 } 
 component 253 : { size:   2, (unique:   2), root: 3744938, level:   1, parent:   0 } 

 component 254 : { size:   3, (unique:   3), root: 3748425, level:   1, parent:   0 } 

 component 255 : { size:   1, (unique:   1), root: 3750601, level:   1, parent:   0 } 

 component 256 : { size:   2, (unique:   2), root: 3751896, level:   1, parent:   0 } 

 component 257 : { size:   2, (unique:   2), root: 3756808, level:   1, parent:   0 } 

 component 258 : { size:   1, (unique:   1), root: 3759926, level:   1, parent:   0 } 

 component 259 : { size:   1, (unique:   1), root: 3765072, level:   1, parent:   0 } 

 component 260 : { size:   5, (unique:   5), root: 3789163, level:   1, parent:   0 } 

 component 261 : { size:   1, (unique:   1), root: 3789692, level:   1, parent:   0 } 

 component 262 : { size:   2, (unique:   2), root: 3794655, level:   1, parent:   0 } 

 component 263 : { size:   3, (unique:   3), root: 3794979, level:   1, parent:   0 } 

 component 264 : { size:   3, (unique:   3), root: 3795961, level:   1, parent:   0 } 

 component 265 : { size:   1, (unique:   1), root: 3831926, level:   1, parent:   0 } 

 component 266 : { size:  10, (unique:  10), root: 3838851, level:   1, parent:   0 } 

 component 267 : { size:   8, (unique:   8), root: 3841126, level:   1, parent:   0 } 

 component 268 : { size:   3, (unique:   3), root: 3842661, level:   1, parent:   0 } 

 component 269 : { size:   3, (unique:   3), root: 3843208, level:   1, parent:   0 } 

 component 270 : { size:   1, (unique:   1), root: 3845074, level:   1, parent:   0 } 

 component 271 : { size:   3, (unique:   3), root: 3845076, level:   1, parent:   0 } 

 component 272 : { size:   3, (unique:   3), root: 3850894, level:   1, parent:   0 } 

 component 273 : { size:   2, (unique:   2), root: 3885264, level:   1, parent:   0 } 

 component 274 : { size:   1, (unique:   1), root: 3887447, level:   1, parent:   0 } 

 component 275 : { size:   2, (unique:   2), root: 3889509, level:   1, parent:   0 } 

 component 276 : { size:   1, (unique:   1), root: 3891848, level:   1, parent:   0 } 

 component 277 : { size:   3, (unique:   3), root: 3928736, level:   1, parent:   0 } 

 component 278 : { size:   2, (unique:   2), root: 3934556, level:   1, parent:   0 } 

 component 279 : { size:   9, (unique:   8), root: 3946277, level:   1, parent:   0 } 

 component 280 : { size:   2, (unique:   2), root: 3974802, level:   1, parent:   0 } 

 component 281 : { size:   3, (unique:   3), root: 3994337, level:   1, parent:   0 } 

 component 282 : { size:   4, (unique:   4), root: 4039460, level:   1, parent:   0 } 

 component 283 : { size:   1, (unique:   1), root: 4040748, level:   1, parent:   0 } 

 component 284 : { size:   3, (unique:   3), root: 4068513, level:   1, parent:   0 } 

 component 285 : { size:  12, (unique:  12), root: 4073796, level:   1, parent:   0 } 

 component 286 : { size:   1, (unique:   1), root: 4075877, level:   1, parent:   0 } 

 component 287 : { size:   1, (unique:   1), root: 4083482, level:   1, parent:   0 } 

 component 288 : { size:   2, (unique:   2), root: 4121845, level:   1, parent:   0 } 

 component 289 : { size:   1, (unique:   1), root: 4129231, level:   1, parent:   0 } 

 component 290 : { size:   1, (unique:   1), root: 4134295, level:   1, parent:   0 } 

 component 291 : { size:   1, (unique:   1), root: 4161514, level:   1, parent:   0 } 

 component 292 : { size:   1, (unique:   1), root: 4175231, level:   1, parent:   0 } 

 component 293 : { size:   4, (unique:   4), root: 4179602, level:   1, parent:   0 } 

 component 294 : { size:   1, (unique:   1), root: 4180921, level:   1, parent:   0 } 

 component 295 : { size:   3, (unique:   3), root: 4207922, level:   1, parent:   0 } 

 component 296 : { size:   1, (unique:   1), root: 4211039, level:   1, parent:   0 } 

 component 297 : { size:   1, (unique:   1), root: 4221430, level:   1, parent:   0 } 

 component 298 : { size:   2, (unique:   2), root: 4221642, level:   1, parent:   0 } 

 component 299 : { size:   4, (unique:   4), root: 4222087, level:   1, parent:   0 } 

 component 300 : { size:   1, (unique:   1), root: 4227285, level:   1, parent:   0 } 

 component 301 : { size:  32, (unique:  23), root: 4227348, level:   1, parent:   0 } 

 component 302 : { size:   4, (unique:   4), root: 4251782, level:   1, parent:   0 } 

 component 303 : { size:   1, (unique:   1), root: 4251988, level:   1, parent:   0 } 

 component 304 : { size:   1, (unique:   1), root: 4257632, level:   1, parent:   0 } 

 component 305 : { size:   2, (unique:   2), root: 4262350, level:   1, parent:   0 } 

 component 306 : { size:   1, (unique:   1), root: 4298396, level:   1, parent:   0 } 

 component 307 : { size:   1, (unique:   1), root: 4324970, level:   1, parent:   0 } 

 component 308 : { size:   1, (unique:   1), root: 4328453, level:   1, parent:   0 } 

 component 309 : { size:   1, (unique:   1), root: 4344240, level:   1, parent:   0 } 

 component 310 : { size:   1, (unique:   1), root: 4344424, level:   1, parent:   0 } 

 component 311 : { size:   5, (unique:   5), root: 4363640, level:   1, parent:   0 } 

 component 312 : { size:   1, (unique:   1), root: 4369960, level:   1, parent:   0 } 

 component 313 : { size:   1, (unique:   1), root: 4370141, level:   1, parent:   0 } 

 component 314 : { size:   3, (unique:   3), root: 4370683, level:   1, parent:   0 } 

 component 315 : { size:   1, (unique:   1), root: 4389392, level:   1, parent:   0 } 

 component 316 : { size:   6, (unique:   6), root: 4389933, level:   1, parent:   0 } 

 component 317 : { size:   5, (unique:   5), root: 4407633, level:   1, parent:   0 } 

 component 318 : { size:   5, (unique:   5), root: 4408637, level:   1, parent:   0 } 

 component 319 : { size:   5, (unique:   5), root: 4410415, level:   1, parent:   0 } 

 component 320 : { size:   2, (unique:   2), root: 4410598, level:   1, parent:   0 } 

 component 321 : { size:   1, (unique:   1), root: 4413108, level:   1, parent:   0 } 

 component 322 : { size:   5, (unique:   5), root: 4413698, level:   1, parent:   0 } 

 component 323 : { size:   3, (unique:   3), root: 4416825, level:   1, parent:   0 } 

 component 324 : { size:   3, (unique:   3), root: 4418894, level:   1, parent:   0 } 

 component 325 : { size:   3, (unique:   3), root: 4458081, level:   1, parent:   0 } 

 component 326 : { size:  72, (unique:  44), root: 4459581, level:   1, parent:   0 } 

 component 327 : { size:   3, (unique:   3), root: 4461589, level:   1, parent:   0 } 

 component 328 : { size:   2, (unique:   2), root: 4465412, level:   1, parent:   0 } 

 component 329 : { size:   1, (unique:   1), root: 4465483, level:   1, parent:   0 } 

 component 330 : { size:   1, (unique:   1), root: 4465595, level:   1, parent:   0 } 

 component 331 : { size:   5, (unique:   5), root: 4501541, level:   1, parent:   0 } 

 component 332 : { size:   1, (unique:   1), root: 4503600, level:   1, parent:   0 } 

 component 333 : { size:   2, (unique:   2), root: 4507382, level:   1, parent:   0 } 

 component 334 : { size:   1, (unique:   1), root: 4511183, level:   1, parent:   0 } 

 component 335 : { size:   2, (unique:   2), root: 4512074, level:   1, parent:   0 } 

 component 336 : { size:   1, (unique:   1), root: 4512442, level:   1, parent:   0 } 

 component 337 : { size:   1, (unique:   1), root: 4529168, level:   1, parent:   0 } 

 component 338 : { size:   6, (unique:   6), root: 4549644, level:   1, parent:   0 } 

